inf,1.000000000000000000e+00
5.000000000000000000e+01,1.094369595020000053e-03
1.000000000000000000e+02,1.747652790909999965e-03
2.000000000000000000e+02,7.573388984440000346e-03
3.000000000000000000e+02,1.091453840880000047e-02
4.000000000000000000e+02,1.780215938300000120e-02
5.000000000000000000e+02,2.131758810369999840e-02
6.250000000000000000e+02,2.716795198039999998e-02
7.500000000000000000e+02,3.378576671800000153e-02
8.750000000000000000e+02,3.934579488250000007e-02
1.000000000000000000e+03,4.320193115749999813e-02
1.125000000000000000e+03,4.881789860190000052e-02
1.250000000000000000e+03,6.413370212100000245e-02
1.500000000000000000e+03,7.001465807130000107e-02
1.750000000000000000e+03,8.224373901610000648e-02
2.000000000000000000e+03,9.281404079140000152e-02
2.500000000000000000e+03,1.190011396659999970e-01
3.000000000000000000e+03,1.377514621550000040e-01
3.500000000000000000e+03,1.577225728459999976e-01
4.000000000000000000e+03,1.793685144590000113e-01
4.500000000000000000e+03,1.952673055559999982e-01
5.000000000000000000e+03,2.160344900130000134e-01
6.000000000000000000e+03,2.563984352320000104e-01
7.500000000000000000e+03,2.961230592810000228e-01
1.000000000000000000e+04,3.719760054469999910e-01
